<html>
<head>
<TITLE> Hipparcos/Tycho Catalogue Data</TITLE>
</head>

<body bgcolor=#ffffff text=#000000 link=#0000ff vlink=#ff0000 alink=#800080>
<h1 align=center> Hipparcos/Tycho Catalogue Data</h1>
<H3 align=center>Hipparcos Catalogue Intermediate Data<br> HIP 1349 </H3><p>For information on field definitions see <A href="https://hipparcos-tools.cosmos.esa.int/pstex/sect2_08.pdf"> 
Guide to Hipparcos Intermediate Data fields (pdf)</A>
<pre align=left>
<b>Field       Value                 Field Description </b>
IH1   :     1349             Hipparcos Catalogue (HIP) identifier 
IH2   :        7.01          Provisional Hp magnitude used for the merging (mag)
IH3   :        4.22329974    Right ascension alpha (deg)
IH4   :      -52.65159230    Declination delta (deg)
IH5   :       43.45          Trigonometric parallax pi (mas)
IH6   :      314.94          Proper motion in right ascension mu_alpha* (mas/year)
IH7   :      182.50          Proper motion in declination mu_delta (mas/year)
IH8   : O                    Code for adopted solution (5, 7, 9, C, O, V, X, -)
IH9   :       91             Number of following abscissae records, N_A
ABCISSAE
A1  | |IA3    |IA4    |IA5    |IA6    |IA7    |IA8     |IA9    |IA10 
1898|F| 0.6831| 0.7304| 0.1385| 0.6149| 0.6575|    1.57|   2.30|0.581
1898|N| 0.6831| 0.7303| 0.1387| 0.6150| 0.6575|    4.47|   2.28|0.581
1899|F| 0.6559| 0.7548| 0.1717| 0.5912| 0.6804|    2.83|   3.57|0.690
1899|N| 0.6565| 0.7544| 0.1728| 0.5919| 0.6802|    8.17|   4.46|0.690
1994|F| 0.6694|-0.7429|-0.4800| 0.6809|-0.7556|    9.88|   2.40|0.639
1994|N| 0.6694|-0.7429|-0.4808| 0.6807|-0.7555|    9.70|   2.91|0.639
2030|F| 0.9855| 0.1698| 0.5868| 1.0454| 0.1802|    1.87|   2.52|0.648
2030|N| 0.9855| 0.1697| 0.5858| 1.0453| 0.1800|    7.36|   3.07|0.648
2106|F|-0.1248|-0.9920|-0.6855|-0.1440|-1.1442|   20.70|   4.41|0.696
2106|N|-0.1243|-0.9924|-0.6872|-0.1433|-1.1441|   19.79|   5.55|0.696
2107|F|-0.1312|-0.9913|-0.6895|-0.1513|-1.1435|   19.17|   4.60|     
2178|F| 0.7695|-0.6386| 0.5906| 0.9542|-0.7918|   21.60|   3.55|0.581
2178|N| 0.7690|-0.6393| 0.5910| 0.9538|-0.7929|   18.68|   5.33|0.581
2228|F|-0.6242|-0.7813|-0.4365|-0.8120|-1.0164|   22.45|   2.17|0.580
2228|N|-0.6238|-0.7816|-0.4357|-0.8116|-1.0168|   19.56|   2.97|0.580
2469|F|-0.9963|-0.0857| 0.6278|-1.5876|-0.1366|   18.68|   3.88|     
2755|F| 0.9994|-0.0349|-0.2426| 1.9400|-0.0677|    2.10|   3.73|0.581
2755|N| 0.9986|-0.0537|-0.2569| 1.9383|-0.1043|   -2.22|   5.10|0.581
2756|F| 0.9997|-0.0227|-0.2280| 1.9417|-0.0440|    2.28|   4.52|0.606
2756|N| 0.9997|-0.0238|-0.2285| 1.9418|-0.0462|   10.28|   6.06|0.606
