2457093.62213800 0.99846300 0.00104600 -0.03047129 -0.98810206 -70.59629896 -0.16070762 -380226.08449038
2457093.62381600 0.99821300 0.00104100 -0.02879329 -1.02742106 -71.27059896 -0.15806262 -365801.74617538
2457093.62459100 0.99826000 0.00103700 -0.02801829 -1.11525706 -72.61493396 -0.15680062 -356943.86669638
2457093.62625800 0.99981800 0.00104500 -0.02635129 -0.46356906 -71.72601196 -0.15400762 -383558.50032538
2457093.62793500 0.99820000 0.00104100 -0.02467429 -0.77218406 -73.87618996 -0.15106562 -382512.71062738
2457093.62960200 0.99749400 0.00104000 -0.02300729 -0.69633406 -76.17410796 -0.14802762 -384294.15556938
2457093.63128000 0.99931600 0.00104200 -0.02132929 -0.50862106 -80.11492096 -0.14484162 -388629.96038038
2457093.63279600 0.99447500 0.00103000 -0.01981329 -0.88105506 -79.56488496 -0.14185862 -363622.22121938
2457093.63444000 0.99288400 0.00103100 -0.01816929 -0.72956806 -82.65534796 -0.13850862 -382271.37434538
2457093.63611800 0.99275800 0.00103100 -0.01649129 -0.69866306 -84.42389796 -0.13496162 -380230.37347038
2457093.63779600 0.99278500 0.00103300 -0.01481329 -0.49690706 -83.59963496 -0.13128862 -387136.41986638
2457093.63948600 0.99132500 0.00103000 -0.01312329 -0.53638706 -84.65851596 -0.12745462 -383313.00501338
2457093.64025000 0.99200300 0.00103400 -0.01235929 -0.14142306 -82.80251296 -0.12567762 -397862.18561438
2457093.64192700 0.99290700 0.00103200 -0.01068229 -0.20800006 -84.33770296 -0.12167062 -388704.82526938
2457093.64359400 0.99177300 0.00103100 -0.00901529 -0.22448906 -87.89481296 -0.11756062 -391008.08148038
2457093.64527200 0.99194200 0.00103100 -0.00733729 -0.04195206 -87.79845496 -0.11328562 -396541.13233638
2457093.64695000 0.99008100 0.00103100 -0.00565929 0.07228294 -88.65674496 -0.10887262 -399675.99267038
2457093.64869800 0.99070000 0.00091000 -0.00391129 0.07093694 -31.82235096 -0.10431362 231601.38166862
2457093.65050400 0.98885400 0.00090300 -0.00210529 -0.22954106 -34.88954596 -0.09924462 245482.34466862
2457093.65232100 0.99082500 0.00090500 -0.00028829 0.06017994 -35.58693096 -0.09397362 236586.16334962
2457093.65413800 0.98911800 0.00090600 0.00152871 0.46004394 -35.45466596 -0.08852662 227320.53669962
2457093.65594200 0.99130900 0.00090800 0.00333271 0.30762194 -33.97904796 -0.08294162 226116.73463262
2457093.65774800 0.99058000 0.00090600 0.00513871 -0.10667906 -33.39785696 -0.07716762 235805.18537562
2457093.65954200 0.98843300 0.00091000 0.00693271 0.33444494 -31.25621396 -0.07125262 216819.75577162
2457093.66135900 0.98814600 0.00091100 0.00874971 0.32316094 -31.33573096 -0.06507262 210534.92201562
2457093.67683300 0.98863000 0.00092500 0.02422371 0.34056394 -34.81020196 -0.00413762 146206.26855862
2457093.67887000 0.98894500 0.00092700 0.02626071 0.40052694 -32.91396496 0.00508338 139123.68994962
2457093.68091800 0.99204700 0.00093400 0.02830871 0.37980294 -29.77245096 0.01466738 127768.45080562
2457093.68295500 0.98550100 0.00092400 0.03034571 0.10412594 -27.39041996 0.02450538 149567.55429062
2457093.68386900 0.99100300 0.00093400 0.03125971 0.33644694 -25.91993196 0.02902538 125366.95562462
2457093.68590600 0.98848600 0.00092800 0.03329671 0.52466094 -26.56508396 0.03933338 142470.76101962
2457093.68795400 0.98641800 0.00092600 0.03534471 0.50144994 -24.64641896 0.05004238 150928.00454762
2457093.68885700 0.98861400 0.00093300 0.03624771 0.78475194 -24.36948096 0.05485938 139277.25179862
2457093.69206300 0.98759100 0.00085600 0.03945371 0.57538994 26.49388404 0.07224338 640484.92061462
2457093.69433200 0.98681400 0.00085600 0.04172271 0.68826994 24.15956404 0.08530738 625799.86511662
2457093.69660000 0.98721800 0.00086000 0.04399071 0.77952094 31.09638604 0.09884438 619070.65226762
2457093.69887900 0.98459700 0.00086100 0.04626971 0.90862994 36.52652804 0.11293738 609766.39614862
2457093.70114800 0.98514400 0.00086800 0.04853871 1.34192794 42.33492704 0.12747938 589006.31117362
2457093.70215500 0.98575300 0.00087100 0.04954571 1.24447994 43.38945704 0.13409938 589598.13281262
2457093.70507100 0.98924600 0.00088100 0.05246171 1.31067494 48.73420504 0.15388238 556252.81809862
2457093.70731700 0.98658300 0.00088000 0.05470771 0.90214294 54.81028104 0.16974038 558622.98312762
2457093.70958500 0.98783900 0.00088800 0.05697571 1.30241094 64.76527704 0.18633238 537161.64466762
2457093.71185400 0.98600300 0.00089000 0.05924471 0.95502694 72.93824204 0.20354538 540279.47455962
