sweep,best_lp,median_lp,best_minus_median,accept,pop_spread,elapsed_s
209,126153.4566,123858.8488,2294.6078,0.0741,2.55671,1484.4
210,126153.4566,123858.8488,2294.6078,0.0370,2.55668,1491.1
211,126153.4566,123858.8488,2294.6078,0.0000,2.55668,1497.9
212,126153.4566,123858.8488,2294.6078,0.0556,2.55631,1504.4
213,126153.4566,123910.6422,2242.8144,0.0185,2.56653,1511.1
214,126153.4566,123910.6422,2242.8144,0.0370,2.56384,1517.5
215,126153.4566,123910.6422,2242.8144,0.0370,2.56711,1524.2
216,126153.4566,123910.6422,2242.8144,0.0370,2.58694,1530.8
217,126153.4566,123944.8656,2208.5910,0.0370,2.59926,1537.4
218,126153.4566,123944.8656,2208.5910,0.0185,2.59664,1543.9
219,126153.4566,123944.8656,2208.5910,0.0370,2.57226,1550.2
220,126153.4566,123944.8656,2208.5910,0.0000,2.57226,1556.7
221,126153.4566,123944.8656,2208.5910,0.0185,2.58818,1563.3
222,126153.4566,123944.8656,2208.5910,0.0185,2.58561,1570.1
223,126153.4566,123944.8656,2208.5910,0.0000,2.58561,1576.8
224,126153.4566,123944.8656,2208.5910,0.0741,2.60316,1583.0
225,126153.4566,123944.8656,2208.5910,0.0185,2.63086,1589.2
226,126153.4566,123969.5840,2183.8726,0.0556,2.64071,1595.3
227,126153.4566,123969.5840,2183.8726,0.0370,2.65012,1601.6
228,126153.4566,123969.5840,2183.8726,0.0185,2.64611,1608.1
229,126558.8404,123969.5840,2589.2564,0.0370,2.65875,1614.6
230,126558.8404,123969.5840,2589.2564,0.0741,2.67694,1620.8
231,126558.8404,124086.4617,2472.3787,0.0556,2.67044,1627.5
232,126558.8404,124086.4617,2472.3787,0.0556,2.68819,1634.1
233,126558.8404,124276.7972,2282.0432,0.0926,2.68597,1640.6
234,126558.8404,124276.7972,2282.0432,0.0000,2.68597,1647.1
235,126558.8404,124276.7972,2282.0432,0.0370,2.69096,1653.9
236,126558.8404,124276.7972,2282.0432,0.0000,2.69096,1660.5
237,126558.8404,124276.7972,2282.0432,0.0185,2.71283,1667.0
238,126558.8404,124276.7972,2282.0432,0.0556,2.69008,1673.3
239,126579.7427,124276.7972,2302.9455,0.0185,2.69708,1679.6
240,126579.7427,124276.7972,2302.9455,0.0370,2.70475,1686.3
241,126579.7427,124276.7972,2302.9455,0.0926,2.71572,1692.8
242,126579.7427,124480.9465,2098.7962,0.0741,2.77011,1699.0
243,126579.7427,124480.9465,2098.7962,0.0370,2.7691,1705.2
244,126579.7427,124480.9465,2098.7962,0.0370,2.76521,1711.3
245,126690.0996,124565.7586,2124.3410,0.0926,2.77019,1717.6
246,126690.0996,124571.2400,2118.8597,0.0370,2.77145,1723.9
247,126690.0996,124571.2400,2118.8597,0.0370,2.77549,1730.5
248,126690.0996,124571.2400,2118.8597,0.0741,2.75955,1737.1
249,126690.0996,124588.0335,2102.0661,0.0370,2.77992,1743.2
250,126690.0996,124588.0335,2102.0661,0.0185,2.78046,1749.5
251,126690.0996,124588.0335,2102.0661,0.0000,2.78046,1755.8
252,126690.0996,124616.2222,2073.8774,0.0741,2.7838,1761.9
253,126690.0996,124616.2222,2073.8774,0.0185,2.78636,1768.2
254,126690.0996,124616.2222,2073.8774,0.0370,2.79495,1774.3
255,126690.0996,124616.2222,2073.8774,0.0370,2.82136,1780.4
256,126690.0996,124616.2222,2073.8774,0.0185,2.8098,1786.9
257,126690.0996,124616.2222,2073.8774,0.0000,2.8098,1793.1
258,126690.0996,124616.2222,2073.8774,0.0185,2.81094,1799.3
259,126690.0996,124616.2222,2073.8774,0.0000,2.81094,1805.6
