 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Mar-04 00:00     02 04 22.17 +13 22 47.1  1.29193068938537   0.7651302    10.74465991
 2014-Mar-05 00:00     02 08 08.91 +13 42 02.2  1.29236743813823   0.7471683    10.74829224
 2014-Mar-06 00:00     02 11 56.24 +14 01 04.2  1.29279380665616   0.7292075    10.75183823
 2014-Mar-07 00:00     02 15 44.18 +14 19 52.8  1.29320982802488   0.7113550    10.75529818
 2014-Mar-08 00:00     02 19 32.72 +14 38 27.7  1.29361558857680   0.6936888    10.75867279
 2014-Mar-09 00:00     02 23 21.87 +14 56 48.6  1.29401121291113   0.6762646    10.76196309
 2014-Mar-10 00:00     02 27 11.63 +15 14 55.0  1.29439685311718   0.6591231    10.76517036
 2014-Mar-11 00:00     02 31 02.02 +15 32 46.7  1.29477268195982   0.6422960    10.76829604
 2014-Mar-12 00:00     02 34 53.04 +15 50 23.3  1.29513888897390   0.6258102    10.77134169
 2014-Mar-13 00:00     02 38 44.68 +16 07 44.5  1.29549567814675   0.6096889    10.77430901
 2014-Mar-14 00:00     02 42 36.96 +16 24 49.8  1.29584326588516   0.5939516    10.77719981
 2014-Mar-15 00:00     02 46 29.89 +16 41 39.1  1.29618187812478   0.5786114    10.78001597
 2014-Mar-16 00:00     02 50 23.45 +16 58 12.0  1.29651174570390   0.5636714    10.78275939
 2014-Mar-17 00:00     02 54 17.66 +17 14 28.1  1.29683309749640   0.5491210    10.78543199
 2014-Mar-18 00:00     02 58 12.53 +17 30 27.1  1.29714615126858   0.5349319    10.78803558
 2014-Mar-19 00:00     03 02 08.04 +17 46 08.7  1.29745110272539   0.5210557    10.79057178
 2014-Mar-20 00:00     03 06 04.22 +18 01 32.5  1.29774811361851   0.5074233    10.79304195
 2014-Mar-21 00:00     03 10 01.05 +18 16 38.4  1.29803729998200   0.4939458    10.79544704
 2014-Mar-22 00:00     03 13 58.54 +18 31 25.9  1.29831872150867   0.4805175    10.79778755
 2014-Mar-23 00:00     03 17 56.69 +18 45 54.8  1.29859237288820   0.4670199    10.80006344
 2014-Mar-24 00:00     03 21 55.50 +19 00 04.7  1.29885817780701   0.4533266    10.80227407
 2014-Mar-25 00:00     03 25 54.98 +19 13 55.4  1.29911598644877   0.4393108    10.80441820
 2014-Mar-26 00:00     03 29 55.11 +19 27 26.6  1.29936557773924   0.4248544    10.80649399
 2014-Mar-27 00:00     03 33 55.90 +19 40 37.9  1.29960666796199   0.4098610    10.80849907
 2014-Mar-28 00:00     03 37 57.34 +19 53 29.1  1.29983892717329   0.3942692    10.81043071
 2014-Mar-29 00:00     03 41 59.42 +20 06 00.0  1.30006200352164   0.3780662    10.81228598
