# time flux_white_norm err_white_norm
2.45978122788320e+06 1.00024760906732e+00 1.62007389129684e-04
2.45978122796235e+06 1.00038971985733e+00 1.62062510507028e-04
2.45978122804150e+06 1.00052342332960e+00 1.62098419408305e-04
2.45978122812065e+06 1.00070675709686e+00 1.62071504285314e-04
2.45978122819980e+06 1.00052803379416e+00 1.62034182864257e-04
2.45978122827895e+06 1.00028304636355e+00 1.62029404574689e-04
2.45978122835810e+06 1.00031974927751e+00 1.62002853616954e-04
2.45978122843724e+06 1.00049539893717e+00 1.62099589151248e-04
2.45978122851639e+06 1.00025276193948e+00 1.62055745861520e-04
2.45978122859554e+06 1.00052414653973e+00 1.62000337566096e-04
2.45978122867469e+06 1.00089768457046e+00 1.62055271343157e-04
2.45978122875384e+06 1.00041674983583e+00 1.62039612237161e-04
2.45978122883299e+06 1.00044947509409e+00 1.62057666005596e-04
2.45978122891214e+06 1.00018224895207e+00 1.62038012117098e-04
2.45978122899129e+06 1.00025502197112e+00 1.62067156372867e-04
2.45978122907044e+06 1.00008524839375e+00 1.62030088763958e-04
2.45978122914959e+06 1.00023974415719e+00 1.61988386324521e-04
2.45978122922874e+06 1.00062422074109e+00 1.62035727807766e-04
2.45978122930788e+06 1.00059691955878e+00 1.62076414998611e-04
2.45978122938703e+06 1.00049657415363e+00 1.62019572112785e-04
2.45978122946618e+06 1.00057468084737e+00 1.61983288010941e-04
2.45978122954533e+06 1.00050579508275e+00 1.62074020336172e-04
2.45978122962448e+06 1.00017456484447e+00 1.62054211953322e-04
2.45978122970363e+06 1.00010956633428e+00 1.62004906184759e-04
2.45978122978278e+06 1.00126706414295e+00 1.62099831928085e-04
2.45978122986193e+06 9.99886456010021e-01 1.62058350194864e-04
2.45978122994108e+06 9.99944222418935e-01 1.62021437080306e-04
2.45978123002023e+06 1.00042642277128e+00 1.62065710747154e-04
2.45978123009938e+06 1.00071426040193e+00 1.62095042603207e-04
2.45978123017853e+06 1.00043329326749e+00 1.62088046216173e-04
2.45978123025767e+06 1.00024281780023e+00 1.61992458354199e-04
2.45978123033682e+06 1.00048319476627e+00 1.62044258102999e-04
2.45978123041597e+06 1.00073658951461e+00 1.62058217771135e-04
2.45978123049512e+06 1.00060171082588e+00 1.62060093773968e-04
2.45978123057427e+06 1.00038049892820e+00 1.62047988038042e-04
2.45978123065342e+06 1.00015169332419e+00 1.61986322721406e-04
2.45978123073257e+06 1.00041584582317e+00 1.62061186269735e-04
2.45978123081172e+06 1.00025800521290e+00 1.62040053649592e-04
2.45978123089087e+06 1.00066661893480e+00 1.62021260515334e-04
2.45978123097002e+06 1.00076759714882e+00 1.62047226601599e-04
2.45978123104917e+06 9.99960042640469e-01 1.61965134924709e-04
2.45978123112831e+06 1.00041250097633e+00 1.62074472783914e-04
2.45978123120746e+06 1.00020521087361e+00 1.62009265132517e-04
2.45978123128661e+06 1.00018884824448e+00 1.62008945108504e-04
2.45978123136576e+06 1.00064040256769e+00 1.62071107014126e-04
2.45978123144491e+06 1.00044622064852e+00 1.62036555456075e-04
