Title: OGLE-2016-BLG-1003: First Resolved Caustic-crossing Binary-source 
       Event Discovered by Second-generation Microlensing Surveys  
Authors: Jung Y.K., Udalski A., Bond I.A., Yee J.C., Gould A., Han C., 
         Albrow M.D., Lee C.-U., Kim S.-L., Hwang K.-H., Chung S.-J., Ryu Y.-H.,
         Shin I.-G., Zhu W., Cha S.-M., Kim D.-J., Lee Y., Park B.-G., 
         Kim H.-W., Pogge R.W., Skowron J., Szymanski M.K., Poleski R., Mroz P.,
         Kozlowski S., Pietrukowicz P., Soszynski I., Ulaczyk K., Pawlak M., 
         Abe F., Bennett D.P., Barry R., Sumi T., Asakura Y., Bhattacharya A., 
         Donachie M., Fukui A., Hirao Y., Itow Y., Koshimoto N., Li M.C.A., 
         Ling C.H., Masuda K., Matsubara Y., Muraki Y., Nagakane M., 
         Rattenbury N.J., Evans P., Sharan A., Sullivan D.J., Suzuki D., 
         Tristram P.J., Yamada T., Yamada T., Yonehara A.
Figure: Light curve of OGLE-2016-BLG-1003
================================================================================
Byte-by-byte Description of file: dbf1.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Obs     Observatory identifier
   6-  6 A1     ---     Filter  Filter used
   8- 18 F11.6  d       HJD     Heliocentric Julian Date; - 2450000
  20- 28 F9.6   mag     mag     Apparent magnitude in Filter
  30- 37 F8.6   mag   e_mag     Uncertainty in mag
--------------------------------------------------------------------------------
KMTA I 7604.972560 19.319000 0.093000 
KMTA I 7605.921330 19.545000 0.125000 
KMTA I 7605.961510 19.550000 0.114000 
KMTA I 7607.912730 19.432000 0.117000 
KMTA I 7607.953390 19.371000 0.094000 
KMTA I 7607.989960 19.547000 0.119000 
KMTA I 7608.024570 19.455000 0.121000 
KMTA I 7608.060990 19.775000 0.130000 
KMTA I 7608.097000 19.485000 0.106000 
KMTA I 7608.908530 19.412000 0.111000 
KMTA I 7608.948400 19.494000 0.108000 
KMTA I 7608.995220 19.471000 0.099000 
KMTA I 7609.031360 19.337000 0.095000 
KMTA I 7609.067660 19.757000 0.125000 
KMTA I 7609.104500 19.520000 0.110000 
KMTA I 7612.953970 19.286000 0.156000 
KMTA I 7615.911800 19.408000 0.192000 
KMTA I 7615.959890 19.472000 0.137000 
KMTA I 7616.004200 19.372000 0.129000 
KMTA I 7616.041290 19.339000 0.131000 
KMTA I 7616.083480 19.435000 0.135000 
KMTA I 7616.926150 19.707000 0.179000 
KMTA I 7616.965750 19.580000 0.155000 
KMTA I 7617.003390 19.435000 0.129000 
KMTA I 7617.040770 19.664000 0.174000 
KMTA I 7617.082060 19.396000 0.140000 
KMTA I 7617.912610 19.397000 0.143000 
KMTA I 7617.954260 19.464000 0.146000 
KMTA I 7617.999730 19.422000 0.127000 
KMTA I 7618.058260 19.607000 0.172000 
KMTA I 7618.884830 19.628000 0.188000 
KMTA I 7618.926150 19.510000 0.166000 
KMTA I 7618.968030 19.457000 0.141000 
KMTA I 7619.004910 19.481000 0.137000 
KMTA I 7619.048690 19.537000 0.146000 
KMTA I 7621.017670 19.768000 0.177000 
KMTA I 7621.945900 19.767000 0.160000 
KMTA I 7622.055900 19.492000 0.138000 
KMTA I 7627.887740 19.780000 0.128000 
KMTA I 7627.930220 19.498000 0.088000 
KMTA I 7627.967210 19.525000 0.108000 
KMTA I 7628.002230 19.538000 0.110000 
KMTA I 7628.037750 19.447000 0.123000 
KMTA I 7628.897580 19.548000 0.133000 
KMTA I 7628.973860 19.537000 0.103000 
KMTA I 7629.012260 19.529000 0.106000 
KMTA I 7629.051230 19.424000 0.098000 
KMTA I 7629.927550 19.352000 0.130000 
KMTA I 7629.963420 19.451000 0.100000 
KMTA I 7630.006560 19.390000 0.094000 
KMTA I 7630.043810 19.403000 0.082000 
KMTA I 7636.018520 19.704000 0.163000 
KMTA I 7636.966470 19.578000 0.130000 
KMTA I 7637.003260 19.844000 0.151000 
KMTA I 7637.877610 19.515000 0.136000 
KMTA I 7637.914050 19.609000 0.135000 
KMTA I 7637.950070 19.618000 0.124000 
KMTA I 7637.986560 19.501000 0.121000 
KMTA I 7638.909850 19.681000 0.139000 
KMTA I 7638.985430 19.389000 0.105000 
KMTA I 7639.895840 19.416000 0.119000 
KMTA I 7639.932010 19.324000 0.132000 
KMTA I 7654.896760 19.614000 0.139000 
KMTA I 7654.934230 19.794000 0.149000 
KMTA I 7654.970120 19.579000 0.106000 
KMTA I 7662.941310 19.470000 0.116000 
KMTA I 7667.926030 19.322000 0.131000 
KMTA I 7667.946010 19.413000 0.154000 
KMTA I 7670.899860 19.296000 0.117000 
KMTC I 7439.824650 19.425000 0.156000 
KMTC I 7439.870200 19.738000 0.137000 
KMTC I 7440.830750 19.591000 0.130000 
KMTC I 7440.857380 19.760000 0.129000 
KMTC I 7441.820480 19.568000 0.134000 
KMTC I 7441.836510 19.717000 0.140000 
KMTC I 7441.890510 19.656000 0.112000 
KMTC I 7444.818990 19.708000 0.131000 
KMTC I 7444.882530 19.624000 0.098000 
KMTC I 7445.818950 19.746000 0.116000 
KMTC I 7445.873400 19.587000 0.093000 
KMTC I 7446.811270 19.567000 0.110000 
KMTC I 7446.839720 19.557000 0.102000 
KMTC I 7446.884440 19.748000 0.083000 
KMTC I 7447.805990 19.628000 0.131000 
KMTC I 7447.865640 19.621000 0.088000 
KMTC I 7448.799810 19.645000 0.151000 
KMTC I 7448.831120 19.552000 0.108000 
KMTC I 7448.876670 19.663000 0.111000 
KMTC I 7449.800330 19.602000 0.161000 
KMTC I 7449.865240 19.638000 0.127000 
KMTC I 7450.794430 19.593000 0.194000 
KMTC I 7450.826420 19.608000 0.143000 
KMTC I 7451.791100 19.427000 0.106000 
KMTC I 7451.809330 19.497000 0.113000 
KMTC I 7451.853320 19.715000 0.107000 
KMTC I 7452.806450 19.646000 0.091000 
KMTC I 7452.826400 19.584000 0.083000 
KMTC I 7452.885410 19.708000 0.079000 
KMTC I 7453.791830 19.667000 0.106000 
KMTC I 7453.846230 19.698000 0.078000 
KMTC I 7454.791520 19.565000 0.092000 
KMTC I 7454.818670 19.645000 0.097000 
KMTC I 7454.866410 19.705000 0.077000 
KMTC I 7455.785030 19.725000 0.129000 
KMTC I 7455.804050 19.910000 0.156000 
KMTC I 7455.856790 19.541000 0.089000 
KMTC I 7455.902010 19.677000 0.098000 
KMTC I 7456.779440 19.721000 0.107000 
KMTC I 7456.797460 19.559000 0.088000 
KMTC I 7456.842220 19.628000 0.074000 
KMTC I 7457.773470 19.651000 0.126000 
KMTC I 7457.799990 19.727000 0.129000 
KMTC I 7457.846660 19.629000 0.095000 
KMTC I 7457.897290 19.625000 0.086000 
KMTC I 7458.769810 19.630000 0.113000 
KMTC I 7458.820820 19.520000 0.098000 
KMTC I 7458.865950 19.667000 0.074000 
KMTC I 7460.770030 19.668000 0.120000 
KMTC I 7460.797010 19.554000 0.095000 
KMTC I 7460.839440 19.626000 0.091000 
KMTC I 7460.884420 19.556000 0.064000 
KMTC I 7461.768270 19.483000 0.106000 
KMTC I 7461.811570 19.692000 0.099000 
KMTC I 7461.855440 19.612000 0.083000 
KMTC I 7462.766240 19.564000 0.114000 
KMTC I 7462.786340 19.557000 0.115000 
KMTC I 7462.834580 19.712000 0.098000 
KMTC I 7462.882370 19.801000 0.109000 
KMTC I 7465.750400 19.522000 0.139000 
KMTC I 7465.808820 19.520000 0.105000 
KMTC I 7466.748920 19.697000 0.165000 
KMTC I 7466.767200 19.549000 0.116000 
KMTC I 7466.808300 19.627000 0.121000 
KMTC I 7466.856290 19.525000 0.102000 
KMTC I 7466.901940 19.655000 0.094000 
KMTC I 7469.759630 19.569000 0.159000 
KMTC I 7469.813340 19.587000 0.133000 
KMTC I 7469.874210 19.574000 0.097000 
KMTC I 7470.747410 19.406000 0.286000 
KMTC I 7470.751000 19.452000 0.161000 
KMTC I 7470.753060 19.699000 0.248000 
KMTC I 7470.787410 19.447000 0.218000 
KMTC I 7470.834400 19.604000 0.159000 
KMTC I 7472.769420 19.298000 0.131000 
KMTC I 7472.832280 19.696000 0.102000 
KMTC I 7472.874930 19.477000 0.080000 
KMTC I 7473.730690 19.533000 0.133000 
KMTC I 7473.759240 19.583000 0.127000 
KMTC I 7473.806320 19.367000 0.246000 
KMTC I 7473.846910 19.490000 0.254000 
KMTC I 7473.912350 19.688000 0.088000 
KMTC I 7474.728000 19.415000 0.112000 
KMTC I 7474.758150 19.544000 0.109000 
KMTC I 7474.800690 19.555000 0.101000 
KMTC I 7474.841220 19.419000 0.094000 
KMTC I 7474.894690 19.561000 0.087000 
KMTC I 7475.730470 19.716000 0.164000 
KMTC I 7475.797360 19.557000 0.108000 
KMTC I 7475.854300 19.546000 0.111000 
KMTC I 7475.910620 19.649000 0.120000 
KMTC I 7476.734950 19.526000 0.137000 
KMTC I 7476.751120 19.371000 0.126000 
KMTC I 7476.789070 19.637000 0.128000 
KMTC I 7476.842470 19.652000 0.115000 
KMTC I 7476.886130 19.563000 0.143000 
KMTC I 7477.731880 19.371000 0.196000 
KMTC I 7477.771260 19.286000 0.148000 
KMTC I 7477.830110 19.508000 0.174000 
KMTC I 7478.727830 19.493000 0.121000 
KMTC I 7478.729930 19.456000 0.130000 
KMTC I 7478.775370 19.504000 0.106000 
KMTC I 7478.819160 19.587000 0.105000 
KMTC I 7478.867340 19.587000 0.091000 
KMTC I 7479.727030 19.714000 0.141000 
KMTC I 7479.751130 19.530000 0.106000 
KMTC I 7479.786680 19.612000 0.110000 
KMTC I 7479.829570 19.504000 0.104000 
KMTC I 7479.836300 19.538000 0.106000 
KMTC I 7479.877350 19.520000 0.090000 
KMTC I 7479.915660 19.549000 0.091000 
KMTC I 7480.778470 19.554000 0.105000 
KMTC I 7480.815960 19.451000 0.104000 
KMTC I 7480.851580 19.495000 0.116000 
KMTC I 7480.898320 19.535000 0.094000 
KMTC I 7481.712800 19.491000 0.105000 
KMTC I 7481.714230 19.507000 0.108000 
KMTC I 7481.757630 19.472000 0.083000 
KMTC I 7481.807070 19.567000 0.092000 
KMTC I 7481.847610 19.564000 0.077000 
KMTC I 7481.884250 19.486000 0.077000 
KMTC I 7482.722360 19.240000 0.127000 
KMTC I 7482.776430 19.547000 0.172000 
KMTC I 7482.840720 19.442000 0.112000 
KMTC I 7482.885500 19.757000 0.203000 
KMTC I 7484.703250 19.877000 0.298000 
KMTC I 7484.704730 19.402000 0.126000 
KMTC I 7484.745460 19.614000 0.132000 
KMTC I 7484.783400 19.439000 0.104000 
KMTC I 7484.836550 19.427000 0.083000 
KMTC I 7484.875770 19.496000 0.077000 
KMTC I 7484.915150 19.568000 0.094000 
KMTC I 7485.705810 19.507000 0.127000 
KMTC I 7485.747760 19.456000 0.101000 
KMTC I 7485.807430 19.448000 0.090000 
KMTC I 7485.864720 19.553000 0.092000 
KMTC I 7486.903860 19.503000 0.086000 
KMTC I 7486.701620 19.623000 0.143000 
KMTC I 7486.730790 19.518000 0.116000 
KMTC I 7486.792580 19.518000 0.090000 
KMTC I 7486.847370 19.576000 0.091000 
KMTC I 7487.706400 19.554000 0.124000 
KMTC I 7487.721080 19.544000 0.134000 
KMTC I 7487.773910 19.522000 0.095000 
KMTC I 7487.815120 19.509000 0.074000 
KMTC I 7487.859820 19.514000 0.105000 
KMTC I 7487.904310 19.497000 0.074000 
KMTC I 7488.692480 19.553000 0.114000 
KMTC I 7488.735680 19.610000 0.117000 
KMTC I 7488.788140 19.502000 0.081000 
KMTC I 7488.827350 19.535000 0.074000 
KMTC I 7488.862450 19.545000 0.077000 
KMTC I 7488.917700 19.484000 0.074000 
KMTC I 7489.880310 19.737000 0.123000 
KMTC I 7491.709890 19.631000 0.115000 
KMTC I 7491.755870 19.595000 0.082000 
KMTC I 7491.796160 19.466000 0.079000 
KMTC I 7491.832700 19.533000 0.093000 
KMTC I 7491.897480 19.491000 0.074000 
KMTC I 7494.685730 19.734000 0.146000 
KMTC I 7494.709220 19.643000 0.102000 
KMTC I 7494.744550 19.551000 0.185000 
KMTC I 7494.805010 19.621000 0.116000 
KMTC I 7494.841250 19.587000 0.097000 
KMTC I 7494.889450 19.579000 0.070000 
KMTC I 7495.711650 19.452000 0.105000 
KMTC I 7495.748950 19.506000 0.092000 
KMTC I 7495.795760 19.475000 0.079000 
KMTC I 7495.834210 19.535000 0.077000 
KMTC I 7495.875240 19.584000 0.088000 
KMTC I 7495.925170 19.461000 0.095000 
KMTC I 7497.816270 19.607000 0.111000 
KMTC I 7497.832340 19.468000 0.094000 
KMTC I 7497.872570 19.423000 0.101000 
KMTC I 7497.917950 19.527000 0.105000 
KMTC I 7498.713750 19.514000 0.128000 
KMTC I 7498.754310 19.750000 0.156000 
KMTC I 7498.805850 19.410000 0.103000 
KMTC I 7498.844840 19.667000 0.159000 
KMTC I 7498.899040 19.605000 0.107000 
KMTC I 7499.665870 19.583000 0.101000 
KMTC I 7499.720030 19.421000 0.071000 
KMTC I 7499.760810 19.555000 0.075000 
KMTC I 7499.807200 19.643000 0.082000 
KMTC I 7499.842320 19.604000 0.084000 
KMTC I 7499.883920 19.513000 0.081000 
KMTC I 7500.663280 19.440000 0.123000 
KMTC I 7500.687040 19.660000 0.117000 
KMTC I 7500.725120 19.552000 0.094000 
KMTC I 7500.777880 19.295000 0.173000 
KMTC I 7500.811440 19.568000 0.136000 
KMTC I 7500.851900 19.586000 0.092000 
KMTC I 7500.890050 19.612000 0.119000 
KMTC I 7504.802870 19.470000 0.248000 
KMTC I 7504.852060 19.525000 0.268000 
KMTC I 7505.659660 19.519000 0.167000 
KMTC I 7505.677120 19.512000 0.140000 
KMTC I 7505.713630 19.473000 0.137000 
KMTC I 7505.748590 19.280000 0.119000 
KMTC I 7505.835940 19.520000 0.205000 
KMTC I 7508.637070 19.507000 0.087000 
KMTC I 7508.664340 19.535000 0.091000 
KMTC I 7508.703140 19.498000 0.072000 
KMTC I 7508.740910 19.430000 0.079000 
KMTC I 7508.786350 19.532000 0.074000 
KMTC I 7508.822300 19.643000 0.163000 
KMTC I 7508.865600 19.508000 0.078000 
KMTC I 7508.911300 19.407000 0.077000 
KMTC I 7509.638960 19.336000 0.102000 
KMTC I 7509.662230 19.492000 0.095000 
KMTC I 7509.720740 19.497000 0.074000 
KMTC I 7509.763550 19.477000 0.084000 
KMTC I 7509.801260 19.460000 0.081000 
KMTC I 7511.634720 19.459000 0.095000 
KMTC I 7511.725090 19.468000 0.068000 
KMTC I 7511.759560 19.513000 0.075000 
KMTC I 7511.805930 19.499000 0.080000 
KMTC I 7511.845630 19.477000 0.068000 
KMTC I 7511.892960 19.525000 0.093000 
KMTC I 7512.653940 19.775000 0.170000 
KMTC I 7512.691740 19.653000 0.162000 
