# HJD mag err
2456811.887240 19.647 0.122
2456811.928600 19.821 0.228
2456813.619460 19.406 0.107
2456813.720880 19.509 0.068
2456813.885820 19.749 0.107
2456813.927860 19.679 0.120
2456814.614830 19.841 0.118
2456814.673460 19.638 0.060
2456814.750990 19.626 0.064
2456814.796420 19.752 0.089
2456814.840730 19.621 0.089
2456814.886440 19.735 0.124
2456815.595580 19.496 0.094
2456815.642450 19.982 0.139
2456815.690440 19.674 0.089
2456815.769120 19.525 0.076
2456815.822720 19.615 0.080
2456815.873290 19.588 0.077
2456815.917980 19.734 0.115
2456816.583970 19.991 0.171
2456816.646020 19.982 0.149
2456816.711810 19.559 0.087
2456816.768000 19.692 0.098
2456816.822550 19.696 0.089
2456816.872360 19.475 0.089
2456817.586960 19.476 0.095
2456817.634140 19.697 0.087
2456817.683430 19.505 0.085
2456817.733930 19.533 0.084
2456817.778850 19.472 0.079
2456817.832580 20.000 0.153
2456817.886300 19.425 0.106
2456818.573070 19.651 0.094
2456818.853910 19.724 0.158
2456819.603910 19.547 0.113
2456819.641230 19.532 0.114
2456819.681010 19.662 0.103
2456819.730820 19.671 0.123
2456819.770680 19.584 0.117
2456819.820960 19.772 0.192
2456819.866170 19.567 0.162
2456823.700640 19.653 0.118
2456823.739110 19.678 0.093
2456823.785070 19.567 0.083
2456823.830050 19.569 0.096
2456823.871040 19.680 0.112
2456824.545490 19.376 0.106
2456824.593790 19.624 0.136
2456824.646620 19.502 0.113
2456824.697750 19.686 0.102
2456824.765820 19.894 0.112
2456824.810530 19.636 0.104
2456824.855410 19.890 0.148
2456825.562430 19.807 0.097
2456825.606220 19.781 0.097
2456825.650860 19.635 0.079
2456825.707370 19.748 0.088
2456825.763270 19.570 0.075
2456825.808050 19.553 0.089
2456825.852830 19.426 0.114
2456826.529400 19.937 0.148
2456826.574550 19.757 0.115
2456826.618190 19.815 0.106
2456826.662620 19.540 0.065
2456826.775110 19.871 0.102
2456826.832440 19.626 0.093
2456826.885100 19.668 0.114
2456827.544720 19.687 0.086
2456827.589620 19.838 0.095
2456827.634680 19.675 0.072
2456827.702650 19.763 0.077
2456827.769290 19.490 0.061
2456827.814280 19.701 0.093
2456827.858850 19.522 0.091
2456828.544240 19.672 0.100
2456828.590120 19.567 0.066
2456828.635640 19.647 0.066
2456828.691570 19.703 0.072
2456828.760400 19.707 0.075
2456828.813880 19.896 0.097
2456829.544000 19.673 0.117
2456829.588510 19.490 0.101
2456829.642530 19.698 0.100
2456829.744210 19.455 0.078
2456829.788340 19.746 0.096
2456829.831720 20.031 0.136
2456830.549020 19.514 0.090
2456830.596140 19.501 0.076
2456830.649990 19.654 0.055
2456830.707940 19.729 0.056
2456830.752910 19.473 0.055
2456830.797050 19.815 0.090
2456830.848960 19.703 0.085
2456831.527500 19.719 0.075
2456831.615630 19.549 0.053
2456831.659200 19.605 0.056
2456831.727920 19.693 0.068
2456831.772660 19.672 0.077
2456831.821550 19.545 0.080
2456831.863300 19.399 0.112
2456832.520710 19.659 0.083
2456832.730440 19.436 0.063
2456832.775450 19.669 0.101
2456832.821020 19.397 0.088
2456833.525270 19.892 0.160
2456833.570590 19.518 0.102
2456833.620710 19.500 0.084
2456833.734210 19.728 0.094
2456833.778030 19.768 0.110
2456833.822180 19.476 0.122
2456833.861640 19.694 0.174
2456834.512170 19.478 0.106
2456834.557060 19.561 0.089
2456834.600630 19.601 0.096
2456834.710240 19.716 0.083
2456834.754890 19.819 0.102
2456834.799260 19.786 0.170
2456835.534240 19.843 0.138
2456835.579750 19.631 0.093
2456835.688780 19.704 0.097
2456835.733040 19.484 0.071
2456835.777310 19.665 0.106
2456835.821410 19.552 0.107
2456835.862990 19.917 0.173
2456836.532320 19.837 0.173
2456836.589360 19.850 0.146
2456836.629730 19.690 0.097
2456836.736720 19.719 0.140
2456836.781110 19.405 0.098
2456836.825200 19.659 0.109
2456837.492440 19.539 0.080
2456837.536260 19.847 0.088
2456837.579550 19.518 0.061
2456837.622940 19.499 0.060
2456837.688080 19.764 0.083
2456837.731630 19.506 0.071
2456837.820120 19.515 0.097
2456837.856650 19.804 0.146
2456838.562960 19.361 0.088
2456838.608180 19.468 0.068
2456838.761500 19.566 0.084
2456838.805750 19.472 0.086
2456838.845960 19.958 0.198
2456839.515020 19.538 0.073
2456839.561430 19.617 0.086
2456839.651270 19.689 0.080
2456839.718700 19.614 0.099
2456839.762590 19.512 0.091
2456839.807490 19.512 0.099
2456839.844500 19.348 0.107
2456840.545170 19.925 0.169
2456840.709580 19.693 0.150
2456840.753090 19.605 0.078
2456840.796900 19.797 0.137
2456841.536350 19.481 0.079
2456841.591170 19.583 0.064
2456841.702660 19.900 0.111
2456841.745760 19.928 0.118
2456841.790000 19.806 0.131
2456841.829710 19.399 0.109
2456842.562480 19.644 0.113
2456842.605770 19.391 0.076
2456842.714600 19.724 0.103
2456842.760190 19.858 0.115
2456842.803890 19.597 0.119
2456844.473700 20.048 0.198
2456844.517250 19.669 0.091
2456844.562080 19.725 0.081
2456844.605640 19.547 0.068
2456844.663590 19.676 0.075
2456844.719910 19.762 0.092
2456844.765370 19.908 0.111
2456844.808760 19.397 0.087
2456844.845550 19.363 0.113
2456845.480370 19.667 0.105
2456845.523650 19.526 0.066
2456845.566710 19.712 0.080
2456845.609860 19.588 0.072
2456845.663890 19.668 0.064
2456845.717650 19.521 0.068
2456845.761550 19.551 0.076
2456845.805860 19.448 0.077
2456846.813400 19.666 0.100
2456847.495100 19.735 0.136
2456847.532330 19.641 0.093
2456847.571140 19.622 0.088
2456847.608210 19.696 0.081
2456847.649840 19.669 0.104
2456847.688720 19.512 0.095
2456847.726180 19.584 0.082
2456847.763360 19.485 0.087
2456847.800670 19.721 0.133
2456850.627550 19.491 0.103
2456850.649980 19.708 0.150
2456851.499730 20.045 0.160
2456851.549520 19.672 0.097
2456851.596050 19.489 0.080
2456851.645570 19.666 0.093
2456851.691820 19.457 0.080
2456851.738570 19.759 0.149
2456852.476740 19.692 0.156
2456852.524770 20.153 0.225
2456852.631360 19.516 0.105
2456852.692190 19.581 0.154
2456852.742490 20.158 0.231
2456853.746530 19.650 0.159
2456854.506360 19.535 0.071
2456854.514520 19.974 0.120
2456854.530560 19.663 0.075
2456854.547630 19.494 0.052
2456854.675790 19.431 0.064
2456855.470080 19.666 0.115
2456855.516040 19.677 0.102
2456855.563530 19.826 0.115
2456855.607620 19.544 0.073
2456855.674820 19.562 0.066
2456855.719280 19.553 0.074
2456855.800080 19.458 0.079
2456856.485440 19.515 0.085
2456856.530730 19.835 0.093
2456856.641330 19.621 0.069
2456856.775520 19.522 0.087
2456857.470120 19.528 0.077
2456857.514030 19.591 0.072
2456857.558610 19.575 0.075
2456857.613670 19.651 0.059
2456857.671670 19.570 0.061
2456857.715480 19.451 0.057
2456857.767040 19.478 0.072
2456858.469970 19.806 0.089
2456858.514250 19.577 0.065
2456858.558860 19.697 0.065
2456858.624250 19.538 0.052
2456858.670070 19.509 0.057
2456858.714400 19.564 0.067
2456858.760690 19.531 0.078
2456859.572770 19.342 0.093
2456859.632730 19.911 0.109
2456859.687270 19.607 0.095
2456859.737030 19.993 0.155
2456862.559190 19.723 0.124
2456862.626790 19.672 0.096
2456862.670680 19.565 0.091
2456862.717410 19.703 0.105
2456862.759340 19.431 0.081
2456863.484710 19.717 0.085
2456863.529280 19.670 0.066
2456863.599050 19.678 0.059
2456863.644570 19.673 0.079
2456863.689680 19.497 0.064
2456863.736980 19.512 0.084
2456863.774860 19.476 0.085
2456864.501370 19.484 0.091
2456864.546700 19.859 0.121
2456864.613140 19.511 0.074
2456864.658230 19.565 0.070
2456864.704220 19.426 0.067
2456865.545980 19.594 0.077
2456865.651310 19.606 0.090
2456867.642980 19.642 0.093
2456870.527450 19.418 0.100
2456870.671550 19.620 0.084
2456870.723070 19.693 0.101
2456871.537020 19.557 0.076
2456871.607550 19.533 0.090
2456872.514160 19.475 0.094
2456872.590660 19.868 0.112
2456872.647730 19.656 0.085
2456872.716150 19.416 0.081
2456873.497590 19.457 0.113
2456873.573650 19.782 0.136
2456874.552630 19.591 0.107
2456874.641140 19.489 0.071
2456878.573720 19.592 0.174
2456879.518720 19.417 0.121
2456879.578140 19.783 0.178
2456879.647080 19.611 0.128
2456879.709240 19.598 0.155
2456880.561170 19.589 0.126
2456880.620990 19.320 0.118
2456880.675260 19.830 0.200
2456880.721270 19.774 0.190
2456881.483140 19.509 0.105
2456881.556730 19.517 0.100
2456881.624770 19.698 0.112
2456881.694060 20.047 0.191
2456882.476430 19.725 0.120
2456882.625430 19.527 0.067
2456882.673880 19.586 0.085
2456882.722020 19.443 0.090
2456883.475970 19.649 0.120
2456883.509050 19.546 0.085
2456883.553710 19.425 0.072
2456883.597440 19.471 0.079
2456883.627660 19.513 0.086
2456883.649570 19.453 0.101
2456883.666440 19.744 0.126
2456883.683960 19.729 0.131
2456883.728770 19.632 0.134
2456884.677200 19.831 0.108
2456884.719540 19.700 0.124
2456885.489450 19.504 0.085
2456885.557560 19.630 0.080
2456885.603150 19.613 0.069
2456885.699060 19.630 0.099
2456886.474900 19.688 0.139
2456886.534010 19.497 0.081
2456886.591460 19.622 0.068
2456886.637750 19.465 0.067
2456886.683800 19.974 0.177
2456887.475240 19.868 0.113
2456887.541450 19.696 0.086
2456887.590730 19.656 0.060
2456887.637740 19.671 0.079
2456888.473320 19.643 0.083
2456888.539880 19.456 0.057
2456888.586190 19.518 0.074
2456888.637420 19.631 0.085
2456888.689000 19.539 0.105
2456889.489880 19.603 0.082
2456889.556520 19.656 0.082
2456889.603880 19.925 0.117
2456889.651130 19.761 0.097
2456890.500580 19.821 0.106
2456890.560270 19.545 0.078
2456890.606890 19.599 0.084
2456890.651500 19.420 0.067
2456890.693650 19.469 0.104
2456891.503420 19.705 0.106
