# HJD mag err
2457557.536100 17.497 0.035
2457557.576290 17.408 0.028
2457557.613640 17.431 0.051
2457558.258880 17.718 0.065
2457558.302810 17.620 0.087
2457558.340330 17.545 0.045
2457558.393970 17.373 0.032
2457558.431580 17.335 0.032
2457558.472150 17.250 0.041
2457558.514040 17.102 0.037
2457558.550990 16.868 0.030
2457561.254360 18.906 0.138
2457561.269530 18.805 0.142
2457561.304780 19.063 0.117
2457561.342720 18.926 0.117
2457561.379870 19.083 0.156
2457561.427290 19.001 0.078
2457561.466630 18.924 0.093
2457561.502340 18.777 0.097
2457561.547160 18.901 0.116
2457562.246770 18.825 0.077
2457562.266800 19.040 0.095
2457562.304960 18.916 0.065
2457562.340120 18.954 0.072
2457562.375390 18.919 0.119
2457562.410440 18.882 0.086
2457562.449780 18.979 0.071
2457562.498490 18.982 0.075
2457562.538410 18.970 0.102
2457562.579430 19.060 0.095
2457563.391470 18.731 0.169
2457563.425630 19.030 0.125
2457563.535020 18.819 0.148
2457563.571070 19.178 0.193
2457564.328360 19.006 0.123
2457564.410630 19.165 0.091
2457564.448910 19.121 0.093
2457564.489160 19.121 0.096
2457564.528180 19.096 0.092
2457564.571110 19.108 0.101
2457565.254660 19.398 0.139
2457565.292950 19.037 0.091
2457565.329350 19.192 0.101
2457565.366460 19.143 0.083
2457565.433210 19.103 0.094
2457565.481310 19.005 0.087
2457568.239610 19.531 0.155
2457568.281480 19.287 0.120
2457568.318380 19.176 0.087
2457568.356250 19.133 0.073
2457568.398110 19.083 0.065
2457568.450740 19.206 0.078
2457568.487300 19.156 0.072
2457568.524060 19.142 0.075
2457568.564740 19.093 0.085
2457569.243790 19.235 0.094
2457569.268430 19.239 0.095
2457569.338640 19.130 0.065
2457569.375410 19.149 0.071
2457569.412120 19.061 0.064
2457569.449420 19.186 0.065
2457569.486600 19.113 0.082
2457569.531510 19.183 0.092
2457569.579190 19.058 0.085
2457572.230540 18.971 0.095
2457572.245520 19.213 0.094
2457572.287130 19.191 0.070
2457572.323540 19.207 0.070
2457572.363740 19.262 0.059
