# HJD mag err
2457477.219688 19.738 0.186
2457478.198182 19.650 0.292
2457478.231545 19.631 0.224
2457482.044327 19.740 0.201
2457482.157268 19.717 0.138
2457482.994046 20.066 0.215
2457483.023969 19.717 0.135
2457483.096446 20.014 0.194
2457483.129809 19.941 0.201
2457483.189034 19.662 0.101
2457483.224688 19.660 0.127
2457484.106000 19.822 0.129
2457484.139383 19.712 0.140
2457484.195088 19.884 0.174
2457484.228461 19.695 0.138
2457486.992265 19.845 0.182
2457487.023327 19.723 0.107
2457487.155869 19.704 0.145
2457487.245098 19.779 0.156
2457488.004896 19.844 0.162
2457488.037129 19.627 0.128
2457488.131588 19.715 0.199
2457488.188653 19.700 0.141
2457488.220866 19.821 0.223
2457488.255549 19.625 0.178
2457491.010494 19.636 0.141
2457491.161247 19.907 0.168
2457491.193600 19.520 0.159
2457491.226983 19.533 0.114
2457491.262766 19.829 0.216
2457493.016498 19.598 0.141
2457493.112347 19.612 0.122
2457493.168151 19.773 0.164
2457493.200604 19.625 0.119
2457493.235227 19.602 0.087
2457493.270020 19.915 0.261
2457493.980591 19.839 0.178
2457494.092621 19.820 0.137
2457494.124813 19.641 0.152
2457494.226182 19.710 0.131
2457494.260965 19.655 0.153
2457496.063977 19.866 0.254
2457497.003945 19.724 0.194
2457497.151027 19.753 0.142
2457497.183240 19.818 0.136
2457497.218133 19.767 0.160
2457497.252915 19.514 0.115
2457498.241406 19.721 0.136
2457498.997498 19.934 0.190
2457499.067703 19.812 0.184
2457499.180412 19.730 0.192
2457499.215025 19.827 0.167
2457499.249848 19.726 0.129
2457499.978946 19.450 0.200
2457500.006289 19.660 0.196
2457500.159561 19.769 0.162
2457500.191823 19.785 0.197
2457500.226836 19.629 0.133
2457500.261659 19.837 0.170
2457502.182799 19.621 0.276
2457502.240014 19.575 0.258
2457505.964284 19.567 0.216
2457506.133247 19.797 0.247
2457506.185620 19.987 0.284
2457506.212612 19.784 0.231
2457514.018355 19.742 0.205
2457514.050577 19.571 0.161
2457514.132383 19.405 0.122
2457514.166915 19.617 0.129
2457514.254370 19.657 0.144
2457515.018488 19.959 0.198
2457515.050700 19.517 0.145
2457515.131955 19.728 0.133
2457515.164167 19.563 0.108
2457515.199289 19.454 0.097
2457515.234021 19.651 0.137
2457515.267453 19.721 0.123
2457515.960436 19.392 0.169
2457516.029490 19.651 0.151
2457516.142677 19.623 0.146
2457516.212151 19.778 0.143
2457516.245513 19.822 0.172
2457516.278875 19.392 0.177
2457518.184168 19.742 0.215
2457525.266663 19.491 0.105
2457527.926885 19.787 0.191
2457534.905434 19.279 0.141
2457534.938915 19.518 0.188
2457535.039518 19.522 0.123
2457538.187714 19.310 0.111
2457538.221085 19.464 0.101
2457538.286737 19.270 0.132
2457539.167241 19.346 0.170
2457540.042724 19.349 0.120
2457540.065724 19.620 0.110
2457540.077235 19.567 0.124
2457540.110715 19.224 0.081
2457540.146826 19.458 0.145
2457540.179037 19.275 0.088
2457540.921605 17.870 0.028
2457540.953846 17.766 0.020
2457541.083099 18.386 0.038
2457541.152630 17.280 0.017
2457541.184841 17.580 0.020
2457541.218202 17.739 0.020
2457541.250413 17.885 0.027
2457541.284944 17.933 0.028
2457541.857116 18.463 0.069
2457541.890467 18.373 0.042
2457541.922668 18.392 0.053
2457542.035690 18.460 0.047
2457542.069051 18.476 0.030
2457542.102512 18.466 0.038
2457542.138483 18.452 0.043
2457542.170703 18.452 0.043
2457542.204134 18.463 0.050
2457543.968200 18.661 0.076
2457544.000400 18.670 0.063
2457544.033761 18.672 0.070
2457544.065991 18.672 0.055
2457544.100642 18.631 0.060
2457544.236834 18.734 0.074
2457544.821725 18.781 0.095
2457544.861986 18.691 0.067
2457544.895356 18.606 0.064
2457544.993168 18.705 0.044
2457545.026548 18.707 0.050
2457545.059909 18.634 0.049
2457545.094530 18.686 0.042
2457545.129360 18.713 0.045
2457545.231762 18.765 0.100
2457545.830742 18.714 0.082
2457545.859532 18.641 0.050
2457545.892952 18.629 0.043
2457545.996594 18.770 0.047
2457546.032895 18.737 0.059
2457546.065105 18.704 0.072
2457546.101176 18.711 0.058
2457546.135996 18.754 0.054
2457546.890347 18.687 0.053
2457546.958138 18.826 0.105
2457547.024969 18.666 0.057
2457547.057209 18.595 0.072
2457547.093250 18.667 0.064
2457547.128090 18.756 0.058
2457547.229902 18.659 0.073
2457551.855926 18.586 0.112
2457551.921656 18.583 0.053
2457551.953857 18.595 0.058
2457551.989567 18.618 0.046
2457552.025427 18.577 0.047
2457552.067527 18.567 0.060
2457552.116398 18.555 0.046
2457552.163368 18.543 0.033
2457552.199148 18.525 0.061
2457552.275518 18.583 0.106
2457554.883656 18.351 0.094
2457554.960346 18.402 0.059
2457555.032836 18.283 0.082
2457555.069856 18.366 0.076
2457555.991386 18.267 0.045
2457556.025006 18.270 0.051
2457556.057206 18.219 0.035
2457556.160156 18.279 0.090
2457563.797887 19.239 0.174
2457563.863456 19.151 0.089
2457563.929035 19.440 0.119
2457564.043764 19.223 0.107
2457564.116853 19.392 0.170
2457564.152532 19.225 0.104
2457564.204831 19.373 0.139
2457564.240501 19.352 0.157
2457567.801669 19.593 0.186
2457567.833888 19.640 0.179
2457567.933106 19.388 0.091
2457567.965315 19.321 0.087
2457568.047363 19.385 0.079
2457568.082203 19.462 0.173
2457568.147791 19.299 0.176
2457568.213870 19.534 0.200
2457568.798097 19.532 0.129
2457568.830347 19.342 0.114
2457568.863756 19.533 0.118
2457568.963864 19.399 0.109
2457569.078421 19.400 0.107
2457569.110640 19.514 0.125
2457569.144000 19.574 0.115
2457569.185419 19.506 0.110
2457569.223378 19.675 0.145
2457569.871983 19.307 0.185
2457569.970931 19.467 0.120
2457570.004290 19.465 0.109
2457570.037789 19.458 0.096
2457570.120677 19.310 0.085
2457570.152896 19.258 0.100
2457570.186265 19.442 0.128
2457570.218485 19.359 0.096
2457570.794920 19.356 0.120
2457570.827149 19.420 0.125
2457570.860539 19.641 0.290
2457570.926117 19.466 0.091
2457570.958336 19.543 0.092
2457571.059594 19.521 0.100
2457571.091793 19.294 0.089
2457571.125152 19.513 0.100
2457571.157361 19.588 0.114
2457571.190810 19.355 0.089
2457571.223039 19.317 0.143
2457572.959612 19.493 0.161
2457572.992991 19.312 0.221
2457574.825046 19.308 0.142
2457574.859565 19.481 0.134
2457574.892924 19.541 0.090
2457574.960802 19.474 0.111
2457574.996471 19.451 0.083
2457575.032319 19.382 0.102
2457575.185055 19.537 0.119
2457575.952099 19.584 0.112
2457575.988438 19.620 0.123
2457576.148803 19.500 0.106
2457576.182222 19.413 0.085
2457576.215611 19.351 0.104
2457576.790881 19.413 0.166
2457576.824290 19.472 0.111
2457576.857669 19.723 0.168
2457576.965785 19.584 0.110
2457577.002844 19.533 0.130
2457577.052272 19.568 0.136
2457577.089091 19.550 0.110
2457577.181667 19.287 0.211
2457577.835954 19.538 0.176
2457577.869313 19.482 0.087
2457577.902682 19.641 0.125
2457577.969409 19.499 0.103
2457578.004068 19.425 0.095
2457578.143633 19.436 0.183
2457578.792559 19.548 0.194
2457578.825967 19.724 0.200
2457578.859326 19.720 0.162
2457578.892695 19.299 0.193
2457578.926054 19.523 0.106
2457578.961712 19.558 0.137
2457578.997651 19.678 0.139
2457579.033630 19.539 0.170
2457579.068058 19.584 0.098
2457579.101417 19.545 0.137
2457579.160875 19.465 0.114
2457579.194243 19.524 0.182
2457579.790770 19.579 0.152
2457579.824139 19.646 0.116
2457579.857518 19.653 0.137
2457579.924225 19.612 0.203
2457579.959924 19.720 0.187
2457579.994912 19.895 0.237
2457580.030911 19.498 0.139
2457580.097918 19.579 0.167
2457580.131287 19.612 0.131
2457580.164666 19.602 0.146
2457580.826399 19.392 0.111
2457581.019091 19.724 0.173
2457581.055000 19.570 0.129
2457581.089638 19.540 0.112
2457581.103438 19.790 0.182
2457581.131536 19.783 0.139
2457581.164905 19.714 0.226
2457585.133890 19.858 0.265
2457590.795901 19.625 0.176
2457590.829269 19.606 0.166
2457590.895985 19.818 0.172
2457590.929683 19.599 0.187
2457591.050567 19.554 0.243
2457591.089694 19.627 0.175
2457591.125362 19.584 0.233
2457591.830183 19.568 0.221
2457594.899863 19.556 0.146
2457594.933241 19.764 0.137
2457595.022976 19.617 0.222
2457595.147268 19.889 0.158
