# HJD mag err
2457559.783590 19.035 0.259
2457560.514340 18.981 0.152
2457560.528810 18.954 0.132
2457560.571470 18.960 0.119
2457560.611290 18.884 0.102
2457560.654100 18.880 0.104
2457560.700970 18.906 0.090
2457560.739680 18.972 0.098
2457560.774340 18.977 0.111
2457560.819170 18.916 0.118
2457560.859560 19.007 0.155
2457561.512370 18.932 0.096
2457561.568730 19.029 0.082
2457561.606140 19.038 0.086
2457561.644120 18.929 0.077
2457561.646900 18.927 0.074
2457561.693430 19.094 0.067
2457561.749100 18.947 0.063
2457561.791240 18.924 0.097
2457561.798960 18.939 0.074
2457561.838120 19.005 0.099
2457562.504360 19.061 0.078
2457562.519310 18.931 0.082
2457562.569010 19.105 0.153
2457562.704820 19.147 0.181
2457562.792130 18.901 0.215
2457566.544920 19.457 0.110
2457566.589260 19.139 0.095
2457566.628960 19.213 0.073
2457566.680860 19.094 0.051
2457566.700000 19.124 0.048
2457566.740300 19.152 0.055
2457566.775240 19.083 0.071
2457566.825710 19.182 0.101
2457568.497830 19.408 0.131
2457568.542990 19.108 0.071
2457568.588220 19.128 0.064
2457568.626040 19.194 0.071
2457568.661150 19.245 0.071
2457568.712450 19.122 0.065
2457568.748190 19.289 0.092
2457568.799220 19.255 0.098
2457568.841080 19.393 0.136
2457569.492630 19.497 0.140
2457569.507230 19.524 0.151
2457569.546620 19.120 0.072
2457569.604680 19.241 0.073
2457569.641460 19.227 0.066
2457569.679040 19.225 0.079
2457569.725230 19.290 0.079
2457569.760990 19.168 0.080
2457569.804260 19.320 0.119
2457570.538380 19.261 0.106
2457570.586920 19.354 0.106
2457570.688250 19.213 0.114
2457570.722800 19.201 0.111
2457570.808530 19.219 0.070
2457575.472660 19.721 0.181
2457575.552250 19.269 0.083
2457575.587230 19.389 0.077
2457575.622450 19.382 0.196
2457575.694340 19.237 0.067
2457575.739570 19.281 0.076
2457575.783770 19.276 0.062
2457575.825850 19.323 0.075
2457576.464850 19.057 0.151
2457576.498020 19.203 0.076
2457576.547230 19.291 0.089
2457576.583340 19.230 0.095
